Neuroticism,Extraversion,Openness to experience,Agreeableness,Conscientiousness
45,49,61,87,86
39,62,59,70,70
13,57,63,63,69
12,54,75,86,65
43,52,50,64,62
64,22,64,76,72
8,67,71,82,93
46,63,59,63,56
46,46,71,73,55
38,41,58,55,46
38,52,57,69,71
53,61,57,58,55
25,50,59,63,66
63,51,56,57,44
28,62,65,66,53
55,57,61,71,64
71,41,58,67,50
37,51,59,61,63
35,50,64,66,69
40,66,57,65,80
36,44,53,60,60
64,29,56,63,61
43,65,64,65,50
38,49,63,51,69
36,39,63,66,64
57,39,52,49,44
61,55,56,66,45
47,53,43,63,39
53,49,55,58,42
49,52,63,61,34
54,58,54,75,75
44,44,48,65,62
50,36,47,59,55
22,67,69,72,73
47,32,42,68,27
55,47,52,76,58
71,33,59,65,35
48,58,61,48,56
62,35,63,70,28
48,44,44,66,41
62,35,55,53,49
15,61,64,68,68
66,55,56,75,79
36,51,54,49,72
51,35,51,82,57
43,51,66,45,67
25,61,51,62,63
28,60,68,73,60
46,54,48,61,54
24,76,68,86,72
36,62,67,69,69
29,63,53,73,64
52,32,39,55,48
52,53,61,78,42
41,43,56,71,66
23,59,60,61,73
44,28,34,73,42
53,57,54,62,43
55,45,62,61,55
38,45,50,59,52
69,33,61,61,44
32,55,60,59,72
27,43,45,62,64
50,38,64,55,53
60,43,68,72,45
54,48,45,56,63
47,55,52,65,71
38,75,52,63,69
30,49,53,72,52
44,51,63,72,64
41,51,67,59,56
37,42,52,55,53
26,55,56,64,63
58,54,59,56,61
39,66,69,67,79
42,35,60,68,56
63,58,55,54,51
49,36,51,73,46
49,54,48,58,59
46,31,71,54,63
47,58,54,59,69
43,53,60,51,68
46,39,55,61,44
59,30,61,86,53
36,47,71,56,58
42,57,58,59,77
59,51,63,67,51
31,58,54,52,69
74,11,61,70,43
40,57,65,58,66
43,55,58,57,62
59,50,64,69,57
21,70,68,70,71
47,58,66,66,56
42,36,49,58,65
20,65,66,65,67
39,55,52,62,69
45,55,47,57,61
45,55,58,49,78
39,59,49,63,58
54,46,56,60,57
38,59,64,74,56
27,52,54,54,45
43,55,70,58,32
48,45,49,65,55
34,55,48,61,76
27,66,64,62,71
43,48,62,58,60
33,63,54,65,61
40,41,47,62,57
61,52,61,62,46
36,41,57,58,65
50,58,52,52,65
36,60,63,71,66
40,49,56,61,38
37,61,65,68,75
17,65,51,67,68
33,44,54,72,75
49,42,44,58,63
27,50,60,74,81
58,60,54,75,69
48,42,55,54,49
45,34,53,38,63
38,40,55,65,58
50,58,47,66,79
59,29,68,46,76
52,42,54,60,62
37,46,48,63,66
62,53,57,70,62
49,43,63,61,58
37,30,56,81,66
67,34,69,62,30
36,63,62,70,64
51,50,65,60,51
47,52,58,48,58
16,65,76,72,78
50,57,56,70,45
26,52,48,76,78
62,50,58,52,57
37,65,63,58,60
43,44,57,66,66
36,49,40,44,58
41,66,56,55,66
38,50,55,52,59
43,59,72,72,67
19,78,66,62,71
27,44,43,54,66
49,38,50,62,35
56,47,45,64,51
35,53,78,67,59
39,47,38,73,73
54,53,51,59,42
38,54,68,60,79
8,51,79,87,87
52,44,45,60,39
55,43,55,50,68
42,63,59,47,80
62,42,54,60,48
31,56,55,58,67
13,68,66,85,81
24,44,52,62,73
28,54,61,61,58
50,45,57,66,56
42,64,61,62,73
37,48,49,66,65
36,46,55,62,77
29,52,60,56,68
37,61,73,68,60
13,51,53,60,77
37,58,70,71,77
26,61,56,60,63
62,38,44,70,40
48,46,53,66,56
38,49,67,62,57
53,37,39,65,47
31,65,80,75,65
43,39,56,62,47
38,58,67,61,70
55,48,56,56,54
69,40,44,63,27
45,66,66,79,65
79,32,56,72,51
59,57,57,66,65
57,75,44,52,54
39,47,49,55,65
33,66,67,70,69
49,38,66,76,61
43,48,78,54,49
59,44,51,56,52
54,50,52,75,69
38,39,65,63,77
44,38,55,47,58
45,54,69,59,52
58,37,39,58,48
47,63,63,65,53
46,38,38,59,66
25,64,70,76,64
16,68,77,73,90
31,55,52,43,69
45,65,54,60,61
